model,intervention,label,n,acc,acc_drop,acc_ate,acc_backadj,acc_collider_bias,acc_correlation,acc_det-counterfactual,acc_drop,acc_ett,acc_exp_away,acc_marginal,acc_nde,acc_nie
base,original,original,288,0.5069444444444444,0.0,0.6410256410256411,0.5333333333333333,0.2,0.5641025641025641,0.46153846153846156,0.0,0.5151515151515151,0.2,0.4444444444444444,0.4666666666666667,0.4782608695652174
base,13_remove_every_other_word,del_alt_words,288,0.46875,0.03819444444444442,0.41025641025641024,0.4888888888888889,0.2,0.5128205128205128,0.41025641025641024,0.03819444444444442,0.5151515151515151,0.6,0.4888888888888889,0.4666666666666667,0.4782608695652174
base,1_insert_spaces_between_chars_without_whitespace,char_spaces,288,0.5208333333333334,-0.01388888888888895,0.7692307692307693,0.5333333333333333,0.2,0.48717948717948717,0.46153846153846156,-0.01388888888888895,0.5151515151515151,0.4,0.4666666666666667,0.4,0.5217391304347826
base,22_insert_incorrect_answer_once_per_sentence,insert_wrong_ans,288,0.4201388888888889,0.08680555555555552,0.46153846153846156,0.4666666666666667,0.2,0.4358974358974359,0.3333333333333333,0.08680555555555552,0.6060606060606061,0.0,0.4888888888888889,0.26666666666666666,0.21739130434782608
base,33_insert_rare_emoji_blocks,emoji_blocks,288,0.4548611111111111,0.052083333333333315,0.358974358974359,0.5333333333333333,0.2,0.5128205128205128,0.41025641025641024,0.052083333333333315,0.5151515151515151,0.6,0.4,0.4666666666666667,0.4782608695652174
base,34_polarity_decrease_to_not_decrease_flip,polarity_not_dec,288,0.5,0.00694444444444442,0.6153846153846154,0.4222222222222222,0.8,0.4358974358974359,0.5384615384615384,0.00694444444444442,0.42424242424242425,0.8,0.4888888888888889,0.5333333333333333,0.4782608695652174
base,35_polarity_decrease_to_increase_flip,polarity_increase,288,0.5277777777777778,-0.02083333333333337,0.6666666666666666,0.4666666666666667,0.8,0.5384615384615384,0.5384615384615384,-0.02083333333333337,0.5757575757575758,0.4,0.4,0.6,0.4782608695652174
base,37_polarity_decrease_to_not_not_decrease_same,polarity_notnot,288,0.4861111111111111,0.020833333333333315,0.358974358974359,0.5333333333333333,0.2,0.5641025641025641,0.46153846153846156,0.020833333333333315,0.5757575757575758,0.6,0.4666666666666667,0.4666666666666667,0.4782608695652174
base,62_intervention_word_order,shuffle_words,288,0.4930555555555556,0.01388888888888884,0.46153846153846156,0.5333333333333333,0.2,0.5128205128205128,0.41025641025641024,0.01388888888888884,0.5454545454545454,0.2,0.5111111111111111,0.4666666666666667,0.6086956521739131
base,66_set_percentages_to_x,mask_numbers,288,0.4965277777777778,0.01041666666666663,0.48717948717948717,0.5333333333333333,0.2,0.5897435897435898,0.48717948717948717,0.01041666666666663,0.48484848484848486,0.6,0.37777777777777777,0.4666666666666667,0.6086956521739131
base,67_replace_scenario_words_with_random_words_corrected,random_words,288,0.5381944444444444,-0.03125,0.6153846153846154,0.5333333333333333,0.2,0.6153846153846154,0.48717948717948717,-0.03125,0.5757575757575758,0.6,0.4888888888888889,0.4666666666666667,0.5217391304347826
base,68_replace_scenario_words_with_consistent_numbers,words_to_nums,288,0.5659722222222222,-0.05902777777777779,0.5897435897435898,0.5333333333333333,0.2,0.6923076923076923,0.41025641025641024,-0.05902777777777779,0.6363636363636364,0.6,0.5111111111111111,0.6,0.6956521739130435
base,69_scenario_words_to_random_words_and_percentages_to_x,rand_words+mask_nums,288,0.4375,0.06944444444444442,0.358974358974359,0.5333333333333333,0.2,0.46153846153846156,0.4358974358974359,0.06944444444444442,0.48484848484848486,0.6,0.4,0.4666666666666667,0.34782608695652173
base,70_scenario_words_to_random_words_and_mask_polarity,rand_words+mask_pol,288,0.5,0.00694444444444442,0.46153846153846156,0.5333333333333333,0.2,0.5384615384615384,0.38461538461538464,0.00694444444444442,0.6060606060606061,0.6,0.4888888888888889,0.4666666666666667,0.5652173913043478
base,71_scenario_words_to_random_words_and_percentages_to_x_and_mask_polarity,full_ablation,288,0.4409722222222222,0.06597222222222221,0.3333333333333333,0.5333333333333333,0.2,0.41025641025641024,0.38461538461538464,0.06597222222222221,0.5454545454545454,0.6,0.37777777777777777,0.4666666666666667,0.5652173913043478
